48.846413, 2.354847
45.057500, 1.170000, Cultural
48.401944, 2.698056, Cultural
49.895000, 2.301667, Cultural
44.135722, 4.808417, Cultural
43.677639, 4.630694, Cultural
47.639440, 4.389110, Cultural
46.937500, 5.017395, Cultural
43.952778, 4.806111, Cultural
48.693611, 6.183333, Cultural
46.564720, 0.866110, Cultural
43.947222, 4.535278, Cultural
43.210556, 2.358889, Cultural
48.581389, 6.889062, Cultural
48.858333, 2.294167, Cultural
49.253333, 4.032778, Cultural
47.082222, 2.398333, Cultural
43.611389, 1.416389, Cultural
45.184056, 0.722944, Cultural
45.767220, 4.833330, Cultural
48.559722, 3.298889, Cultural
44.894722, -0.155278, Cultural
47.398890, 0.702780, Cultural
43.790781, 3.043559, Cultural
49.492780, 0.107500, Cultural
43.979895, -0.142725, Cultural
46.806614, 6.026944, Cultural
43.069340, 2.142500, Cultural
50.462500, 3.116614, Cultural
47.058056, 4.005451, Cultural
44.387500, 3.986614, Cultural
49.077500, 3.087118, Cultural
13.316167, -16.357194, Cultural
41.843890, 44.716390, Cultural
42.916390, 43.011390, Cultural
42.262220, 42.716390, Cultural
50.774444, 6.084444, Cultural
49.316667, 8.443056, Cultural
49.792780, 9.938890, Cultural
52.152780, 9.943890, Cultural
47.681278, 10.900139, Cultural
53.866670, 10.691670, Cultural
50.825028, 6.909778, Cultural
50.941111, 6.957222, Cultural
49.750000, 6.633333, Cultural
49.653690, 8.568580, Cultural
52.400000, 13.033333, Cultural
51.842500, 12.420830, Cultural
51.783330, 11.150000, Cultural
49.000830, 8.813060, Cultural
51.820000, 10.340000, Cultural
49.891667, 10.888889, Cultural
49.244440, 6.850000, Cultural
50.974770, 11.329490, Cultural
51.864720, 12.652780, Cultural
50.977500, 11.328610, Cultural
52.519722, 13.398611, Cultural
50.966778, 10.307000, Cultural
47.698722, 9.061306, Cultural
51.491389, 7.046111, Cultural
50.173611, 7.694167, Cultural
54.302500, 13.085278, Cultural
53.075972, 8.807472, Cultural
49.020556, 12.099167, Cultural
52.018837, 13.450000, Cultural
51.124618, 8.952118, Cultural
49.085451, 11.149114, Cultural
50.886337, 8.963559, Cultural
50.919284, 9.410250, Cultural
53.116059, 9.140451, Cultural
5.391030, -0.493610, Cultural
5.971614, -1.196337, Cultural
37.434980, 21.896940, Cultural
38.481490, 22.496170, Cultural
37.970870, 23.726180, Cultural
40.638330, 22.965000, Cultural
37.666667, 23.116667, Cultural
36.447220, 28.227780, Cultural
37.080560, 22.366670, Cultural
37.650000, 21.666667, Cultural
37.400000, 25.266670, Cultural
38.400000, 22.750000, Cultural
37.690830, 26.943330, Cultural
40.471390, 22.318330, Cultural
37.733333, 22.750000, Cultural
37.300000, 26.550000, Cultural
39.194445, 19.927500, Cultural
41.014722, 23.855781, Cultural
14.566667, -90.666667, Cultural
15.270590, -89.040250, Cultural
19.573610, -72.244170, Cultural
41.902160, 12.457360, Cultural
14.850000, -89.133330, Cultural
47.482420, 19.070670, Cultural
47.994440, 19.529170, Cultural
47.594580, 21.156780, Cultural
47.558890, 17.784440, Cultural
46.074440, 18.227780, Cultural
48.150000, 21.350000, Cultural
64.253806, -21.037250, Cultural
27.796562, 76.811337, Cultural
28.593330, 77.250560, Cultural
28.525830, 77.185280, Cultural
15.502220, 73.911670, Cultural
15.948330, 75.816670, Cultural
24.852220, 79.922220, Cultural
15.314440, 76.471670, Cultural
20.553330, 75.700000, Cultural
20.026390, 75.179170, Cultural
18.966670, 72.935830, Cultural
19.887500, 86.094720, Cultural
24.024340, 73.787118, Cultural
12.616670, 80.191670, Cultural
10.783056, 79.132500, Cultural
27.183333, 78.033333, Cultural
27.174170, 78.042220, Cultural
27.094440, 77.664170, Cultural
23.479440, 77.739720, Cultural
22.999895, 72.101667, Cultural
22.927778, 77.583333, Cultural
11.510280, 76.935830, Cultural
18.081129, 71.977209, Cultural
24.695280, 84.993890, Cultural
22.483333, 73.533333, Cultural
26.065729, 75.825000, Cultural
25.136667, 85.014392, Cultural
-7.607780, 110.203610, Cultural
-7.400000, 110.816667, Cultural
-7.752220, 110.491670, Cultural
-7.829670, 114.973281, Cultural
32.083300, 48.533333, Cultural
29.934440, 52.890280, Cultural
32.657450, 50.818784, Cultural
36.603889, 47.235000, Cultural
30.193830, 53.167290, Cultural
36.435280, 48.796670, Cultural
29.116830, 57.937170, Cultural
33.958837, 47.007170, Cultural
38.119895, 45.043837, Cultural
32.018611, 47.976840, Cultural
37.819114, 47.861892, Cultural
38.081389, 45.863559, Cultural
30.166667, 53.166667, Cultural
31.810729, 50.826284, Cultural
36.828531, 55.169000, Cultural
34.821373, 50.991014, Cultural
30.168056, 54.946059, Cultural
32.189444, 47.826614, Cultural
30.164392, 60.898281, Cultural
34.290000, 57.795451, Cultural
33.911493, 42.964550, Cultural
35.588060, 42.718330, Cultural
35.458890, 43.259720, Cultural
36.191111, 44.009167, Cultural
53.691670, -6.450000, Cultural
51.771940, -10.538610, Cultural
31.313500, 35.352750, Cultural
32.928333, 35.083889, Cultural
32.066667, 34.783333, Cultural
30.541110, 35.160830, Cultural
32.597220, 35.182220, Cultural
